from,to,weight
1412,3713,1
1412,3714,1
1412,4221,1
1412,4313,1
1412,4321,1
1412,4419,1
1412,5111,1
1412,5121,2
1412,5131,1
1412,5132,1
1412,5212,1
1412,5223,1
1412,7512,1
1412,7513,1
1412,7514,1
1421,1616,1
1421,1621,1
1421,1622,1
1421,2161,1
1421,2162,1
1421,2163,1
1421,2183,1
1421,2391,1
1421,2411,1
1421,2412,1
1421,2413,1
1421,2421,1
1421,2425,1
1421,2431,1
1421,2433,1
1421,2712,1
1421,2821,1
1421,2849,1
1421,2912,1
1421,3311,1
1421,3321,1
1421,3322,1
1421,3323,1
1421,3344,1
1421,3712,1
1421,3713,1
1421,3714,1
1421,4221,1
1421,4313,1
1421,4419,1
1421,5222,1
1421,5244,1
1511,1617,1
1511,1618,1
1511,1623,1
1511,2121,2
1511,2131,2
1511,2132,1
1511,2133,1
1511,2142,1
1511,2146,1
1511,2161,1
1511,2162,1
1511,2165,1
1511,2166,1
1511,2181,1
1511,2262,1
1511,2263,1
1511,2391,1
1511,2393,2
1511,2413,1
1511,2421,1
1511,2434,1
1511,2511,3
1511,2512,3
1511,2513,3
1511,2514,3
1511,2519,1
1511,2521,3
1511,2522,3
1511,2523,2
1511,2524,2
1511,2531,3
1511,2541,1
1511,2542,2
1511,2543,1
1511,2832,1
1511,2841,1
1511,2842,1
1511,2844,1
1511,3119,1
1511,3131,1
1511,3132,1
1511,3133,1
1511,3134,1
1511,3135,1
1511,3141,1
1511,3314,1
1511,3511,3
1511,3512,3
1511,3513,6
1511,3514,1
1511,3622,1
1511,4132,1
1511,5242,1
1611,1613,1
1611,1614,1
1611,1616,1
1611,2342,1
1611,2392,1
1611,2411,1
1611,2412,1
1611,5152,1
1611,5312,1
1611,6111,1
1612,1613,1
1612,1614,1
1612,2211,3
1612,2212,3
1612,2221,2
1612,2222,2
1612,2231,2
1612,2241,3
1612,2261,1
1612,2262,1
1612,2264,1
1612,2267,1
1612,2268,1
1612,2269,1
1612,2371,1
1612,2391,1
1612,2392,1
1612,2399,1
1612,2411,1
1612,2424,1
1612,2425,1
1612,2426,1
1612,2611,1
1612,2824,1
1612,2825,1
1612,2826,1
1612,3221,2
1612,3222,1
1612,3251,1
1612,3254,1
1612,3256,1
1612,3341,1
1612,3344,1
1612,4312,1
1612,4313,1
1612,4419,1
1612,5321,1
1612,5413,1
1612,5414,1
1612,6111,1
1613,1614,2
1613,1616,1
1613,2371,1
1613,2391,1
1613,2392,1
1613,2399,1
1613,2411,1
1613,2412,1
1613,2611,1
1613,2825,1
1613,2826,1
1613,5413,1
1613,5414,1
1613,6111,1
1614,1616,1
1614,2371,1
1614,2391,1
1614,2392,1
1614,2399,1
1614,2411,1
1614,2412,1
1614,2611,1
1614,2825,1
1614,2826,1
1614,5321,1
1614,5322,1
1614,5413,1
1614,5414,1
1614,6111,1
1615,1624,1
1615,2121,1
1615,2371,1
1615,2391,1
1615,2392,1
1615,2432,1
1615,2712,1
1615,2824,2
1615,2825,1
1615,2826,1
1615,2831,1
1616,2411,1
1616,2412,1
1616,2431,1
1616,2433,1
1616,3321,1
1616,3322,1
1616,3332,1
1616,3333,1
1616,5222,1
1616,5244,1
1616,6111,1
1617,1618,1
1617,2131,1
1617,2132,1
1617,2133,1
1617,2142,1
1617,2146,1
1617,2161,1
1617,2162,1
1617,2165,1
1617,2181,1
1617,2263,1
1617,2391,1
1617,2432,1
1617,2434,1
1617,2611,2
1617,2612,1
1617,2842,1
1617,3119,1
1617,3622,1
1618,1621,1
1618,1622,1
1618,2131,1
1618,2132,1
1618,2133,1
1618,2142,2
1618,2146,2
1618,2161,2
1618,2162,2
1618,2165,1
1618,2181,2
1618,2391,1
1618,2434,1
1618,2611,1
1618,2842,1
1618,3119,1
1618,3334,1
1618,3339,1
1618,3622,1
1618,4312,1
1621,1622,5
1621,2412,1
1621,2413,1
1621,2821,1
1621,3123,1
1621,3311,1
1621,3334,1
1621,3339,1
1621,3341,1
1621,5151,1
1622,2133,1
1622,2143,1
1622,2263,1
1622,2412,1
1622,2413,1
1622,2821,1
1622,3123,1
1622,3257,1
1622,3311,1
1622,3334,1
1622,3339,1
1622,3341,1
1622,5151,1
1623,2263,1
1623,2519,1
1623,2522,1
1623,2531,1
1623,3116,1
1623,3117,1
1623,3121,1
1623,3122,1
1623,3123,1
1623,3129,1
1623,3131,1
1623,3132,1
1623,3133,1
1623,3134,1
1623,3135,1
1623,3141,1
1623,5413,1
1623,5414,1
1623,6111,1
1624,2831,1
2111,2112,7
2111,2113,6
2111,2114,4
2111,2121,1
2111,2131,3
2111,2132,3
2111,2133,4
2111,2134,2
2111,2143,2
2111,2145,1
2111,2149,4
2111,2151,1
2111,2152,1
2111,2153,1
2111,2165,1
2111,2173,1
2111,2181,1
2111,2182,1
2111,2251,1
2111,2262,1
2111,2269,1
2111,2311,1
2111,2399,1
2111,2412,1
2111,2422,1
2111,2424,1
2111,2426,1
2111,2434,1
2111,2512,1
2111,2519,2
2111,2521,1
2111,2523,1
2111,2524,1
2111,2531,1
2111,2542,1
2111,2611,1
2111,2619,1
2111,2712,1
2111,2821,1
2111,2822,3
2111,2823,2
2111,2831,1
2111,2849,1
2111,2912,1
2111,3111,2
2111,3112,1
2111,3115,2
2111,3116,3
2111,3117,1
2111,3132,1
2111,3133,2
2111,3134,2
2111,3135,2
2111,3141,2
2111,3142,2
2111,3143,1
2111,3144,2
2111,3231,1
2111,3257,1
2111,3311,1
2111,3313,1
2111,3314,1
2111,3315,1
2111,3712,1
2111,3713,1
2111,3714,1
2111,5241,1
2111,5243,1
2111,6211,1
2111,7113,1
2111,7515,1
2111,7611,1
2111,7633,1
2112,2113,6
2112,2114,4
2112,2121,1
2112,2131,3
2112,2132,3
2112,2133,4
2112,2134,2
2112,2143,2
2112,2145,1
2112,2149,4
2112,2151,1
2112,2152,1
2112,2153,1
2112,2165,1
2112,2173,1
2112,2181,1
2112,2182,1
2112,2251,1
2112,2262,1
2112,2269,1
2112,2311,1
2112,2399,1
2112,2412,1
2112,2422,1
2112,2424,1
2112,2426,1
2112,2434,1
2112,2512,1
2112,2519,2
2112,2521,1
2112,2523,1
2112,2524,1
2112,2531,1
2112,2542,1
2112,2611,1
2112,2619,1
2112,2712,1
2112,2821,1
2112,2822,3
2112,2823,2
2112,2831,1
2112,2849,1
2112,2912,1
2112,3111,2
2112,3112,1
2112,3115,2
2112,3116,3
2112,3117,1
2112,3119,1
2112,3121,1
2112,3131,1
2112,3132,2
2112,3133,3
2112,3134,3
2112,3135,3
2112,3141,2
2112,3142,2
2112,3143,1
2112,3144,2
2112,3231,1
2112,3257,1
2112,3311,1
2112,3313,1
2112,3314,1
2112,3315,1
2112,3712,1
2112,3713,1
2112,3714,1
2112,5153,1
2112,5241,1
2112,5243,1
2112,6211,1
2112,7113,1
2112,7127,1
2112,7515,1
2112,7611,1
2112,7633,1
2112,8111,1
2112,8112,1
2112,8113,1
2112,8181,1
2112,8182,1
2112,8183,1
2112,8212,1
2112,8213,1
2112,8219,1
2112,8221,1
2112,8344,1
2113,2114,3
2113,2121,1
2113,2131,2
2113,2132,2
2113,2133,3
2113,2134,2
2113,2143,1
2113,2149,3
2113,2182,1
2113,2519,1
2113,2712,1
2113,2822,2
2113,2823,1
2113,3111,2
2113,3112,1
2113,3115,2
2113,3116,3
2113,3117,1
2113,3133,1
2113,3134,1
2113,3135,1
2113,3141,1
2113,3142,1
2113,3144,1
2113,3257,1
2113,5241,1
2113,5243,1
2113,6211,1
2113,7113,1
2113,7515,1
2113,7611,1
2113,7633,1
2114,2121,1
2114,2131,3
2114,2132,3
2114,2133,4
2114,2134,2
2114,2143,1
2114,2145,1
2114,2149,3
2114,2151,1
2114,2152,1
2114,2153,1
2114,2165,1
2114,2173,1
2114,2181,1
2114,2251,1
2114,2262,1
2114,2269,1
2114,2311,1
2114,2399,1
2114,2412,1
2114,2422,1
2114,2424,1
2114,2426,1
2114,2434,1
2114,2512,1
2114,2519,1
2114,2521,1
2114,2523,1
2114,2524,1
2114,2531,1
2114,2542,1
2114,2611,1
2114,2619,1
2114,2821,1
2114,2822,3
2114,2823,2
2114,2831,1
2114,2849,1
2114,2912,1
2114,3111,2
2114,3115,1
2114,3116,1
2114,3132,1
2114,3133,1
2114,3134,1
2114,3135,1
2114,3141,2
2114,3142,2
2114,3143,1
2114,3144,2
2114,3231,1
2114,3311,1
2114,3313,1
2114,3314,1
2114,3315,1
2114,3712,1
2114,3713,1
2114,3714,1
2121,2131,1
2121,2133,2
2121,2149,1
2121,2181,1
2121,2183,1
2121,2262,1
2121,2265,1
2121,2371,1
2121,2391,1
2121,2392,1
2121,2413,1
2121,2421,1
2121,2422,1
2121,2426,1
2121,2434,1
2121,2511,1
2121,2513,1
2121,2521,1
2121,2524,4
2121,2811,1
2121,2824,2
2121,2825,1
2121,2826,1
2121,2832,2
2121,2919,1
2121,3122,1
2121,3314,1
2121,3344,1
2121,3622,1
2121,4111,1
2121,4121,1
2121,4131,1
2121,4132,2
2121,4211,1
2121,4213,1
2121,4222,1
2121,4223,1
2121,4224,1
2121,4225,1
2121,4226,1
2121,4229,1
2121,4311,1
2121,4313,1
2121,4321,1
2121,4411,1
2121,4412,1
2121,4413,1
2121,4419,1
2121,5151,1
2121,5223,1
2121,5231,1
2121,5242,1
2121,5244,1
2121,5413,1
2121,5414,1
2131,2132,5
2131,2133,4
2131,2134,2
2131,2142,1
2131,2143,1
2131,2145,1
2131,2146,1
2131,2149,2
2131,2151,1
2131,2152,1
2131,2153,1
2131,2161,1
2131,2162,1
2131,2165,2
2131,2173,1
2131,2181,2
2131,2251,1
2131,2262,3
2131,2263,1
2131,2265,1
2131,2269,1
2131,2311,2
2131,2331,1
2131,2341,1
2131,2342,1
2131,2353,1
2131,2361,1
2131,2371,1
2131,2391,1
2131,2392,1
