code,skills,skill_type
5231,Data Entry,specific_skills
5231,Invoicing,specific_skills
5231,Record Keeping,specific_skills
5231,Cash Management,specific_skills
5241,Social Perceptivenesss,basic_skills
5241,Communication,basic_skills
5241,Testing Skills,specific_skills
5241,Online Advertising,specific_skills
5242,Active Listening,basic_skills
5242,Speaking,basic_skills
5242,Customer Services,basic_skills
5242,Service Orientation,basic_skills
5242,Communication,basic_skills
5242,Online Advertising,specific_skills
5242,Photo Editing,specific_skills
5242,Internet Literacy,specific_skills
5243,Active Listening,basic_skills
5243,Speaking,basic_skills
5243,Customer Services,basic_skills
5243,Service Orientation,basic_skills
5243,Communication,basic_skills
5243,Testing Skills,specific_skills
5244,Speaking,basic_skills
5244,Persuasion,basic_skills
5244,Active Listening,basic_skills
5244,Service Orientation,basic_skills
5244,Social Perceptivenesss,basic_skills
5244,Microsoft Office,specific_skills
5244,Data Entry,specific_skills
5244,Sales Management,specific_skills
5245,Active Listening,basic_skills
5245,Service Orientation,basic_skills
5245,Speaking,basic_skills
5245,Time Management,basic_skills
5246,Active Listening,basic_skills
5246,Service Orientation,basic_skills
5246,Speaking,basic_skills
5246,Social Perceptivenesss,basic_skills
5249,Active Listening,basic_skills
5249,Service Orientation,basic_skills
5249,Speaking,basic_skills
5249,Reading Comprehension,basic_skills
5249,Critical Thinking,basic_skills
5249,Online Advertising,specific_skills
5311,Monitoring,basic_skills
5311,Service Orientation,basic_skills
5311,Social Perceptivenesss,basic_skills
5311,Active Listening,basic_skills
5311,Coordination,basic_skills
5311,Cooking,specific_skills
5311,Infant Care,specific_skills
5311,Housekeeping,specific_skills
5312,Active Listening,basic_skills
5312,Coordination,basic_skills
5312,Critical Thinking,basic_skills
5312,Monitoring,basic_skills
5312,Reading Comprehension,basic_skills
5312,Child Care,specific_skills
5312,Record Keeping,specific_skills
5312,Housekeeping,specific_skills
5312,Nursing,specific_skills
5312,Teaching,basic_skills
5312,Speaking,basic_skills
5312,Learning Strategies,basic_skills
5321,Speaking,basic_skills
5321,Active Listening,basic_skills
5321,Reading Comprehension,basic_skills
5321,Social Perceptivenesss,basic_skills
5321,Monitoring,basic_skills
5321,Nursing,specific_skills
5321,Patient Care,specific_skills
5321,Home Care,specific_skills
5321,Phlebotomy,specific_skills
5321,First Aid,specific_skills
5321,Service Orientation,basic_skills
5321,Coordination,basic_skills
5321,Critical Thinking,basic_skills
5321,Decision Making,basic_skills
5321,Writing,basic_skills
5322,Service Orientation,basic_skills
5322,Social Perceptivenesss,basic_skills
5322,Active Listening,basic_skills
5322,Speaking,basic_skills
5322,Monitoring,basic_skills
5322,Housekeeping,specific_skills
5322,Cooking,specific_skills
5322,Nursing,specific_skills
5322,Home Care,specific_skills
5411,Critical Thinking,basic_skills
5411,Monitoring,basic_skills
5411,Speaking,basic_skills
5411,Active Listening,basic_skills
5411,Complex Problem Solving,basic_skills
5411,First Aid,specific_skills
5412,Active Listening,basic_skills
5412,Critical Thinking,basic_skills
5412,Speaking,basic_skills
5412,Social Perceptivenesss,basic_skills
5412,Negotiation,basic_skills
5412,First Aid,specific_skills
5413,Social Perceptivenesss,basic_skills
5413,Speaking,basic_skills
5413,Active Listening,basic_skills
5413,Monitoring,basic_skills
5413,Critical Thinking,basic_skills
5413,Supervisory Skills,specific_skills
5413,Crisis Management,specific_skills
5413,Data Entry,specific_skills
5414,Coordination,basic_skills
5414,Speaking,basic_skills
5414,Active Listening,basic_skills
5414,Monitoring,basic_skills
5414,Critical Thinking,basic_skills
5414,Supervisory Skills,specific_skills
5414,Crisis Management,specific_skills
5414,Data Entry,specific_skills
5414,Decision Making,basic_skills
5415,Active Listening,basic_skills
5415,Critical Thinking,basic_skills
5415,Speaking,basic_skills
5415,Reading Comprehension,basic_skills
5415,Social Perceptivenesss,basic_skills
5415,Administration Management,specific_skills
5419,Monitoring,basic_skills
5419,Speaking,basic_skills
5419,Social Perceptivenesss,basic_skills
5419,Service Orientation,basic_skills
5419,Active Listening,basic_skills
5419,Conflict Management,specific_skills
5419,Traffic Management,specific_skills
5419,Critical Thinking,basic_skills
5419,Reading Comprehension,basic_skills
5419,Decision Making,basic_skills
5419,Active Learning,basic_skills
5419,Complex Problem Solving,basic_skills
5419,Writing,basic_skills
5419,Coordination,basic_skills
6111,Self Motivation,basic_skills
6111,Space Planning,basic_skills
6111,Time Management,basic_skills
6111,Farm Machinery,specific_skills
6111,Mechanical And Repairing Skills,specific_skills
6111,Equipment Selection,specific_skills
6111,Problem Solving,basic_skills
6111,Management,basic_skills
6111,Sales,basic_skills
6111,Microsoft Excel,specific_skills
6111,Microsoft Office,specific_skills
6111,Troubleshooting,specific_skills
6111,Supervisory Skills,specific_skills
6111,Farming Skills,specific_skills
6111,Budgeting,specific_skills
6111,Financial Management,specific_skills
6111,Communication,basic_skills
6111,Complex Problem Solving,basic_skills
6112,Problem Solving,basic_skills
6112,Management,basic_skills
6112,Sales,basic_skills
6112,Farm Machinery,specific_skills
6112,Mechanical And Repairing Skills,specific_skills
6113,Problem Solving,basic_skills
6113,Management,basic_skills
6113,Sales,basic_skills
6113,Farm Machinery,specific_skills
6113,Mechanical And Repairing Skills,specific_skills
6114,Problem Solving,basic_skills
6114,Management,basic_skills
6114,Sales,basic_skills
6114,Farm Machinery,specific_skills
