from,to,weight
2912,2426,1
2912,2434,1
2912,2611,1
2912,2619,1
2912,2822,1
2912,2849,1
2913,2131,1
2913,2311,1
2914,1111,1
2914,1112,1
2914,1121,1
2914,1214,1
2914,1411,1
2914,2131,1
2914,2262,1
2914,2263,1
2914,2265,1
2914,2311,2
2914,2331,1
2914,2341,1
2914,2361,1
2914,2421,1
2914,2422,2
2914,2434,1
2914,2611,1
2914,2619,2
2914,2832,1
2914,2911,2
2914,2913,2
2914,2915,2
2914,2916,2
2916,2131,1
2916,2331,1
2916,2341,1
2916,2915,2
2919,2131,1
2919,2262,1
2919,2263,1
2919,2265,2
2919,2311,1
2919,2331,1
2919,2341,1
2919,2361,1
2919,2422,1
2919,2619,1
2919,2913,2
2919,2915,2
2919,2916,2
3111,1121,1
3111,2111,2
3111,2114,2
3111,2131,3
3111,2134,2
3111,2149,3
3111,2152,1
3111,2331,1
3111,2341,1
3111,2353,1
3111,2392,1
3111,2915,1
3111,3142,1
3111,3143,1
3111,3144,2
3111,3151,1
3111,3152,1
3111,3241,1
3111,3256,1
3111,3634,1
3112,1223,1
3112,1323,1
3112,2111,1
3112,2113,1
3112,2141,1
3112,2142,1
3112,2144,1
3112,2149,3
3112,2151,1
3112,2152,1
3112,2161,1
3112,2162,1
3112,2182,1
3112,2311,1
3112,2519,2
3112,2712,1
3112,3111,2
3112,3116,3
3112,3121,1
3112,3141,1
3112,3142,1
3112,3143,2
3112,3144,2
3112,3151,1
3112,3152,1
3112,3159,1
3112,3241,1
3112,3256,1
3113,2141,1
3113,2142,1
3113,2143,1
3113,2144,1
3113,2145,1
3113,2146,1
3113,2149,1
3113,2151,2
3113,2152,1
3113,2173,1
3113,2381,2
3113,3111,1
3113,3116,1
3113,3143,1
3113,3144,1
3113,3151,1
3113,3152,1
3113,3241,1
3113,3256,1
3114,2141,1
3114,2142,1
3114,2143,1
3114,2144,1
3114,2145,1
3114,2146,1
3114,2149,1
3114,2151,2
3114,2152,1
3114,2173,1
3114,2381,2
3114,3111,1
3114,3116,1
3114,3143,1
3114,3144,1
3114,3151,1
3114,3152,1
3114,3241,1
3114,3256,1
3115,2111,2
3115,2113,2
3115,2114,1
3115,2131,1
3115,2132,1
3115,2133,1
3115,2134,1
3115,2141,1
3115,2142,1
3115,2143,1
3115,2144,3
3115,2145,2
3115,2146,2
3115,2149,4
3115,2151,2
3115,2152,1
3115,2182,1
3115,2381,1
3115,2519,1
3115,2712,1
3115,2822,1
3115,3111,3
3115,3112,3
3115,3116,5
3115,3119,2
3115,3121,1
3115,3143,1
3115,3144,1
3115,3151,3
3115,3152,3
3115,3154,3
3115,3241,1
3115,3255,1
3115,3256,1
3115,7221,1
3115,7232,2
3116,2111,3
3116,2113,3
3116,2114,1
3116,2131,1
3116,2133,1
3116,2134,1
3116,2142,1
3116,2144,1
3116,2151,1
3116,2152,1
3116,2182,1
3116,2822,1
3117,1323,1
3117,1623,1
3117,2111,1
3117,2113,1
3117,2141,1
3117,2142,1
3117,2143,2
3117,2144,1
3117,2145,1
3117,2146,1
3117,2149,2
3117,2151,1
3117,2152,1
3117,2161,1
3117,2162,1
3117,2182,1
3117,2381,1
3117,2519,1
3117,2712,1
3117,3111,2
3117,3116,5
3117,3118,1
3117,3121,2
3117,3142,1
3117,3143,2
3117,3144,2
3117,3151,1
3117,3152,1
3117,3159,1
3117,3241,1
3117,3256,1
3117,5413,1
3118,2141,1
3118,2142,2
3118,2143,1
3118,2144,1
3118,2145,1
3118,2146,1
3118,2149,2
3118,2151,2
3118,2152,1
3118,2164,1
3118,2165,1
3118,2381,1
3118,3111,1
3118,3116,1
3118,3143,1
3118,3144,1
3118,3151,1
3118,3152,1
3118,3241,1
3118,3256,1
3119,1323,1
3119,1411,1
3119,1511,1
3119,1617,1
3119,2131,1
3119,2142,2
3119,2149,1
3119,2152,1
3119,2161,1
3119,2162,1
3119,2165,1
3119,2842,1
3119,3111,1
3119,3123,1
3119,3135,2
3119,3141,1
3119,3142,1
3119,3143,2
3119,3144,2
3119,3151,2
3119,3152,2
3119,3211,1
3119,3212,1
3119,3241,1
3119,3255,1
3119,3256,1
3119,3511,1
3119,3512,1
3119,3513,1
